,정확도,정밀도,재현율,F1 점수,AUC-ROC,CV F1 평균,CV F1 표준편차
로지스틱 회귀,0.769,0.42900302114803623,0.7717391304347826,0.5514563106796116,0.8379222612958226,0.7920349471322198,0.01021304731333718
의사결정나무,0.809,0.4851063829787234,0.6195652173913043,0.5441527446300716,0.7891124520460358,0.864004099126474,0.01020971006844294
랜덤포레스트,0.85,0.5988372093023255,0.5597826086956522,0.5786516853932584,0.8660019714407502,0.8992430161942151,0.007197091736525467
XGBoost,0.853,0.6504065040650406,0.43478260869565216,0.5211726384364821,0.8594349424552429,0.8961031805846001,0.007243802393898135
LightGBM,0.84,0.5952380952380952,0.4076086956521739,0.4838709677419355,0.8587222932651322,0.8952958640641123,0.003949761207727988
그래디언트 부스팅,0.844,0.6014492753623188,0.45108695652173914,0.515527950310559,0.8646965579710144,0.8962343345521762,0.00762635992028006
딥러닝 (MLP),0.792,0.4439252336448598,0.5163043478260869,0.47738693467336685,0.7929121376811594,0.47738693467336685,0.0
